 ,,,,,,,,,,,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Ravi Ayyagari,,P,,,https://meet.google.com/nzy-ouwq-ybr,,,
ME 628,Advanced Fluid Mechanics,3,1,0,4,Uddipta Ghosh (I+T),,"R1, R2",R3,,https://iitgn-ac-in.zoom.us/j/6666205461,,,
ES 632,Energy Systems,3,0,0,4,Atul Bhargav + Jaichander Swaminathan,,K,,,https://teams.microsoft.com/l/meetup-join/19%3a5c4efde7c3c8403291b5962622f71392%40thread.tacv2/1609230452823?context=%7b%22Tid%22%3a%227c21bd5f-12e7-4869-9a23-9ad39d684f76%22%2c%22Oid%22%3a%223284f085-584e-4d07-960b-4d99b1a7b3cf%22%7d,,,
ME 635,Compressible flow,3,0,0,4,Vinod Narayanan,,L,,,,,,
ME 640,Fracture Mechanics,3,0,0,4,Ravi Ayyagari,,P,,,Not Offered,,,
ES 646,Elastodynamics and Vibrations,3,0,0,4,K.R. Jayaprakash,,K,,,https://meet.google.com/iwf-fgmb-oeb,,,
ES 656,Human-Robot Interaction,3,0,0,4,Vineet Vashista,,M,,,ES 656: HRI,,,
ME 691-IV,Special Topics in Mechanical Engineering: Advanced Computational Fluid Dynamics,3,0,0,4,Dilip Sundaram,,K,,,https://iitgn-ac-in.zoom.us/j/92838608604?pwd=bThDT1NJOStTN1huOEVpUk5obFA0UT09,,,
ME 691-V,Special Topics in Mechanical Engineering: Introduction to Multi-body Dynamics,3,0,0,4,Sachin Goyal,One hour recording will be shared,"Tuesday, Thursday 8:30PM to 9:30PM",,,https://ucmerced.zoom.us/my/sachingoyal,,,
,,,,,,,,,,,,,,
Additional Courses MSE,,,,,,,,,,,,,,
MSE 603,Thin Film Processing and Characterization,3,0,0,4,Emila Panda,,L,,,https://iitgn-ac-in.zoom.us/j/95898560482?pwd=WWtMWDdITzFIR2lvVjhJT05OOEduQT09,,,
MSE 621,Process Plant Design – How to Set Up a Process Industry,3,0,0,4,SP Mehrotra,,N,,,https://iitgn-ac-in.zoom.us/j/6060583197,,,
MSE 626,Light metal Alloys for automative Industry,3,0,0,4,Jyoti Mukhopadhyay,,K,,,,,,
MSE 692,Special Topics in Materials Engineering: Nanostructured Solar Thin Films (Half Semester: Second half),3,0,0,2,Andreas Schueler,,Mon-Fri @ 6:30-8:30 pm between March 17 and March 30 ,,,,,,
,,,,,,,,,,,,,,
Additional Courses PH,,,,,,,,,,,,,,
PH 504,Quantum Mechanics II,3,1,0,4,Baradhwaj Coleppa (I+T),Core M.Sc. First Year,C,M1,,,,,
PH 506,Methods of Experimental Physics,1,0,4,4,Krishna Kanti Dey (I+L),Core M.Sc. First Year,N1,,K2+M2+N2+P2,"Lecture: meet.google.com/qok-yphm-fzm 
Lab: meet.google.com/nir-bynk-rgj
 ",,,
PH 507,Statistical Mechanics,3,1,0,4,Prasanna Venkatesh (I+T),Core M.Sc. First Year,F,K3,,"https://iitgn-ac-in.zoom.us/j/91366140948?pwd=enZRRkh3TFlZRXYrbE5nUWd3L3JWZz09

Meeting ID: 913 6614 0948
Passcode: 326307",,,
PH 509,Computational Physics,2,0,2,4,Anand Sengupta (I+L),Core M.Sc. First Year,"E2, E3",,M3+N3,"Zoom meeting
https://iitgn-ac-in.zoom.us/j/94467447688?pwd=NW9DMVJVOHdkYUxrOVpWSGE1RTJEdz09

Meeting ID: 944 6744 7688
Passcode: as@ph509
",,,
PH 607,Topics in Quantum and Statistical Mechanics,3,0,0,4,Vinod Chandra,Ph.D. course work,D,,,https://iitgn-ac-in.zoom.us/j/92164575282?pwd=NEpwN1Nmdy9TRDZwV2NKY2hkV3RmZz09,,,
PH 609,Introduction to Einstein’s Theory of General Relativity,3,1,0,4,Sudipta Sarkar (I+T),,"R1, R2",R3,,"
https://iitgn-ac-in.zoom.us/j/95978159525?pwd=d1VjVWNTeGFWd0JyR254cUlZeTVxUT09

Meeting ID: 959 7815 9525
Passcode: 805379",,,
PH 615,Physics of two-dimensional materials,3,0,0,4,Gopinadhan Kalon,,L,,,https://teams.microsoft.com/l/team/19%3a3dfe62eac56c4b4fbda1abdeba679c25%40thread.tacv2/conversations?groupId=60f337f0-0f02-45c3-9bfb-f9c377e4cc02&tenantId=7c21bd5f-12e7-4869-9a23-9ad39d684f76,,,
PH 643,Quantum Computing and Information,3,0,0,4,R. R. Puri,This course has been added to IMS. A short description of the course can be found here,J,,,https://iitgn-ac-in.zoom.us/j/93347482391,,,
PH 692-I,Special Topics in Physics: Experimental Toolkit for Quantum Technologies (Half Semester: First Half),3,0,0,2,Manas Mukherjee,,Mon & Wed @ 18:30-20:00,,,"https://nus-sg.zoom.us/j/87140001565?pwd=dXVIZXJCTURjWGs2anJUZVBWNmErUT09

Meeting ID: 871 4000 1565
Password: 115707",,,
PH 692-II,Special Topics in Physics: Nonlinear Optics (Half Semester: Second Half),3,0,0,2,Ramon Carriles,,,,,,,,
,,,,,,,,,,,,,,
"Additional Courses HSS, MS, Design, IN",,,,,,,,,,,,,,
DES 302,"Creativity, Design and Doing",3,0,0,4,Manasi Anand Kanetkar,,K,,,https://meet.google.com/lookup/heqjnwzg4g?authuser=0&hs=179,,,
ES 334,Interface Design,2,0,3,4,Manasi Anand Kanetkar (I+L),,"N1, L1",,L2+J2,https://meet.google.com/lookup/bzzjvpjfwk?authuser=0&hs=179,,,
FP 602,Writing Course,1,4,0,4,"Arka Chattopadhyay (I + T), 
Dyotana Banerjee (T),  
Nishaant Choksi (T), 
Prasanna Venkatesh B (T), 
Bhaskar Datta (T), 
Sudhanshu Sharma (T), 
Umashankar Singh (T), 
Leslee Lazar (T)",,G2,,"G1+H1, G3+I3","Lecture (Prof. Arka): https://iitgn-ac-in.zoom.us/j/99472215049

Tutorials:

Prof. Prasanna

Prof. Leslee

Prof. Nishaant

Prof. Bhaskar

Prof. Dyotana

Prof. Arka

Prof. Umashankar

 Prof. Sudhanshu",,,
HS 104(R),Foundational Sanskrit,3,1,0,4,Mana Shah (I+T),,E,H1,,https://meet.google.com/lookup/c6giyrnctn?authuser=0&hs=179,40,,
HS 111,Urdu Script & Poetry,3,1,0,4,Mohd. Mubashir Ahsaan (I+T),,P,N2,,https://iitgn-ac-in.zoom.us/j/93277042555?pwd=cVJ6TjUxQkJaL24wYjZBY2FSUGtPQT09,40,,
HS 112,Urdu Poetry Interpretation,3,1,0,4,Mohd. Mubashir Ahsaan (I+T),,"R1,R2",R3,,https://iitgn-ac-in.zoom.us/j/99299357939?pwd=K1BjSkRqeC8wTjlSMFc4dXlxajBqdz09,40,,
HS 223,Sanskrit literature,3,1,0,4,Mana Shah (I+T),,J,N3,,https://meet.google.com/lookup/a6dsoadqgo?authuser=0&hs=179,40,,
HS 326,Harappan Civilization,3,0,0,4,V.N. Prabhakar,,K,,,"Class code
ahc6zaf
Meet Link: https://meet.google.com/lookup/doy3g5s6xj",40,,
HS 414,Introduction to Politics,3,0,0,4,Dyotana Banerjee,,F,,,https://iitgn-ac-in.zoom.us/j/97329658013?pwd=V3NVK0NZNzFqV3h4elZaZGNPZXo0QT09,40,,
HS 424,Indian Systems of Ethics,3,0,0,4,Michel Danino,,L,,,https://meet.google.com/lookup/hcpvthzi7p,40,,
HS 491-VII,Special Topics in HSS: Anthropology in the 21st Century,3,0,0,4,"Prof. Rosa Maria Perez (Visiting Faculty, CRIA-ISCTE)",,P,,,https://iitgn-ac-in.zoom.us/j/94212086194?pwd=OFlMalY2TzRVYWd2ajdLZTBZUG9Ydz09,40,,
ES 491,Special Topics: Modeling and Simulation of Complex Systems,3,0,0,4,Antonio Jorge Fililpe Fonseca,,Thurs @ 12 noon–1.30 pm & Sat @ 3-4.30 pm,,,https://teams.microsoft.com/l/team/19%3a190c8b25d1d8483eb8caf8a5bb0aa35f%40thread.tacv2/conversations?groupId=fd66e22c-5043-408a-8377-39cabc648e19&tenantId=7c21bd5f-12e7-4869-9a23-9ad39d684f76,40,,Data Science
HS 505,Research Methods in Humanities and Social Sciences,3,0,0,4,Malavika Subramanyam and Ambika Aiyadurai,,M,,,https://iitgn-ac-in.zoom.us/j/95163297044?pwd=MGZOUlFzZ0F4bEdIK0sxTTZTa1cydz09,40,,
HS 508,Introduction to Indian Knowledge Systems,3,0,0,4,Michel Danino,,M,,,https://meet.google.com/lookup/fecdhatn4a ,40,,
HS 513,Perspectives in History,3,0,0,4,Madhumita Sengupta,,N,,,"Zoom ID: 91011357523
Password: 708677",40,,
HS 624,Tropes of Time and Topography: Select Fiction from South-Asia,3,0,0,4,Arnapurna Rath,,P,,,https://meet.google.com/lookup/dq2z4anrgl?authuser=0&hs=179,40,,
HS 631,Digital Cultures and New Media,3,0,0,4,Arnapurna Rath,,L,,,https://meet.google.com/lookup/getsybasor?authuser=0&hs=179,40,,
HS 635,India Through the Writer's Eye,3,0,0,4,Sharmita Lahiri,,K,,,https://meet.google.com/itz-mrdy-zgq,40,,
HS 642,Structures and Hydrology in Ancient India,3,0,0,4,Alok Kumar Kanungo,,N,,,https://meet.google.com/lookup/flnzlosct4,40,,
HS 644,Critical perspectives on Sociology and Anthropology,3,0,0,4,Nishaant Choksi,,F,,,https://iitgn-ac-in.zoom.us/j/94360441440?pwd=QXRIMGtaUkJYaDUyUU44YnpiU3Nldz09,40,,
HS 647,"Literature, Theory, and Social Context (MA Core)",3,0,0,4,Angus McBlane,,E,,,https://meet.google.com/acs-wepg-rxn,40,,
HS 691-IV,Special Topics in HSS: Science Communication: Theory and Practice,3,0,0,4,Leslee Lazar,,P,,,https://meet.google.com/lookup/guwc3bwbis?authuser=1&hs=179,40,,
IN 402,Human Evolution,3,0,0,4,Sharada Channarayapatna,HSS/BS Elective,H,,,https://iitgn-ac-in.zoom.us/j/94420144496,40,,
MS 204,Business Communication (Half Semester: Second Half ),3,0,0,2,Sharmita Lahiri,,P,,,https://meet.google.com/myc-tfdd-hcx,40,,
MS 306,Principles of Business Management,3,0,0,4,Abhijit Kothari,,P,,,https://meet.google.com/lookup/dnimtzd34k,40,,Management
MS 401,Introduction to Marketing,3,0,0,4,Rajiv Joshi,,"R2, R3",,,Register in advance for this meeting:,40,,
MS 406,Business Skills for Entrepreneurs,3,0,0,4,Raj Jaswa,,Tue & Wed 8:00-9:30 pm,,,https://iitgn-ac-in.zoom.us/j/5869998457,80,,
MS 491-II,Special Topics in Management: Social Media Marketing ,3,0,0,4,Marcos Severo,,Live class: Friday morning 7.30 to 9 am. 50% asynchronous teaching,,,https://iitgn-ac-in.zoom.us/j/2338509414?pwd=eEdyS2FWNkhzNVJpSGJRRUhvMUxLUT09,40,,
HS 492-I,Special Topics in HSS: Strategic Leadership,3,0,0,2,Rajeev Sharma,"
 Management and HSS minor",H,,,,40,,
HS 492 – II,Special Topics in HSS: Diversity Studies,3,0,0,2,"Shungo Kawanishi, Kotona Motoyama",,"Tue, Thurs, Fri @ 9:30 am – 10:50 am",,,,,,
